name,description,date,amount
DOG WORLD SERVICES,Other Contracted Svces/Labor,12/14/10,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,12/14/10,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,12/14/10,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,12/14/10,302.4
DOG WORLD SERVICES,Other Contracted Svces/Labor,12/16/10,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,12/21/10,2097.9
DOG WORLD SERVICES,Other Contracted Svces/Labor,12/21/10,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/4/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/4/11,504
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/4/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/4/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/6/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/13/11,403.2
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/13/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/13/11,75.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/13/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/19/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/19/11,403.2
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/19/11,504
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/19/11,504
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/19/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/19/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/20/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/25/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/25/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,1/25/11,504
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/8/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/8/11,907.2
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/8/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/11/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/17/11,201.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/17/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/17/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/22/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/22/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,2/24/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/1/11,201.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/1/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/1/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/3/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/3/11,907.2
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/10/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/15/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/15/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/15/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/15/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/15/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/15/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/17/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/22/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/29/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,3/31/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/5/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/7/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/12/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/19/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/26/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,4/26/11,1965.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/3/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/3/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/3/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/10/11,2079
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/17/11,2318.4
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/17/11,1108.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/19/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/19/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/24/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/24/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,5/24/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/1/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/2/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/2/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/7/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/14/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/14/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/14/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/16/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/21/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/21/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/21/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/21/11,2003.4
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/23/11,2116.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/23/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/23/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/28/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,6/28/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/6/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/6/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/6/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/19/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/19/11,806.4
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/19/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/19/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/19/11,806.4
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/19/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/19/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/21/11,2217.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,7/26/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/2/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/5/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/9/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/9/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/9/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/23/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/23/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/23/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/23/11,2016
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/23/11,907.2
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/23/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/25/11,1008
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/25/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/30/11,1108.8
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/30/11,2028.6
DOG WORLD SERVICES,Other Contracted Svces/Labor,8/30/11,2028.6
DOJES FORENSIC SUPPLIES,Classroom Supplies,7/28/11,197.01
DOMINO R. PEREZ,Performer,9/14/10,350
DON'T BELIEVE THE HYPE,Advertising,8/23/11,500
DONALD CARPENTER,Athletic Officials,1/19/11,100
DONALD CARPENTER,Athletic Officials,2/15/11,100
DONALD CARPENTER,Athletic Officials,3/8/11,100
DONALD PROUDFOOT,Special Travel,5/19/11,718.92
DONALD R. JOHNSON,Consultant,7/21/11,1000
DONALD SLATER,Classroom Supplies,8/2/11,94
DONATELLE MASCARI,Instructional Service Contracts,3/8/11,132
DONNETTA ANN HENRY,Other Contracted Svces/Labor,9/30/10,495
DONNIE SCOTT WOODLAN,Guest Lecturer/Performer,10/26/10,500
DONNIE SCOTT WOODLAN,Guest Lecturer/Performer,3/24/11,500
DONNIE SCOTT WOODLAN,Guest Lecturer/Performer,6/30/11,500
DOOR CONTROL SERVICES INC,Service Contracts,10/21/10,2180
DOOR CONTROL SERVICES INC,Service Contracts,10/21/10,453.34
DOOR CONTROL SERVICES INC,Repairs-Other,11/9/10,1197.23
DOOR CONTROL SERVICES INC,Repairs-Other,1/4/11,807.04
DOOR CONTROL SERVICES INC,Repairs-Other,2/11/11,441.83
DOOR CONTROL SERVICES INC,Repairs-Other,3/1/11,1418.35
DOOR CONTROL SERVICES INC,Repairs-Other,5/12/11,224
DOOR CONTROL SERVICES INC,Repairs-Other,6/16/11,716.99
DOOR CONTROL SERVICES INC,Repairs-Other,8/18/11,717.24
DORIAN LEE KARTHAUSER,Instructional Service Contracts,9/9/10,200
DORIAN LEE KARTHAUSER,Instructional Service Contracts,3/10/11,500
DOSSLIN BAKER,Athletic Officials,9/30/10,45
DOSSLIN BAKER,Athletic Officials,10/28/10,15
DOT 6 SERVICES,Maintenance Supplies,9/2/10,92
DOT 6 SERVICES,Maintenance Supplies,9/2/10,1410
DOT 6 SERVICES,Maintenance Supplies,9/9/10,207
DOT 6 SERVICES,Departmental Supplies,10/14/10,194
DOT 6 SERVICES,Maintenance Supplies,10/19/10,206.5
DOT 6 SERVICES,Maintenance Supplies,10/28/10,38.5
DOT 6 SERVICES,Maintenance Supplies,11/2/10,505
DOT 6 SERVICES,Departmental Supplies,11/9/10,72.5
DOT 6 SERVICES,Maintenance Supplies,11/16/10,976
DOT 6 SERVICES,Departmental Supplies,11/18/10,35
DOT 6 SERVICES,Departmental Supplies,11/18/10,619
DOT 6 SERVICES,Departmental Supplies,11/18/10,989
DOT 6 SERVICES,Departmental Supplies,11/24/10,31
DOT 6 SERVICES,Maintenance Supplies,12/21/10,70
DOT 6 SERVICES,Departmental Supplies,1/4/11,24
DOT 6 SERVICES,Departmental Supplies,1/4/11,675
DOT 6 SERVICES,Maintenance Supplies,1/11/11,17
DOT 6 SERVICES,Maintenance Supplies,1/25/11,205
DOT 6 SERVICES,Maintenance Supplies,1/27/11,985
DOT 6 SERVICES,Departmental Supplies,2/11/11,67
DOT 6 SERVICES,Maintenance Supplies,3/10/11,830
DOT 6 SERVICES,Maintenance Supplies,3/10/11,124
DOT 6 SERVICES,Maintenance Supplies,3/10/11,40.5
DOT 6 SERVICES,Departmental Supplies,3/22/11,24
DOT 6 SERVICES,Office Supplies,4/14/11,260
DOT 6 SERVICES,Departmental Supplies,4/28/11,36
DOT 6 SERVICES,Maintenance Supplies,5/19/11,400
DOT 6 SERVICES,Departmental Supplies,6/16/11,36.5
DOT 6 SERVICES,Departmental Supplies,7/21/11,52
DOT 6 SERVICES,Office Supplies,8/9/11,52
DOT 6 SERVICES,Departmental Supplies,8/18/11,57.5
DOT 6 SERVICES,Departmental Supplies,8/18/11,18
DOT 6 SERVICES,Departmental Supplies,8/18/11,70
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,10/12/10,7000
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,10/12/10,925
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,11/4/10,722
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,12/9/10,3750
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,1/13/11,990
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,1/19/11,990
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,1/19/11,500
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,1/25/11,996
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,2/11/11,7500
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,2/15/11,425
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,3/3/11,980
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,3/17/11,645
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,3/24/11,7425
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,4/7/11,990
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,4/7/11,5850
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,7/21/11,945
DOUBLE M PLUMBING,Repairs-Physical Plant Equipment,7/28/11,980
DOUBLETREE HOTEL,Refreshments,10/28/10,2992.59
DOUBLETREE HOTEL,Official Functions,12/21/10,224.66
DOUBLETREE HOTEL,Official Functions,12/21/10,283.87
DOUBLETREE HOTEL,Official Functions,1/19/11,2349.3
DOUBLETREE HOTEL,Guest Lecturer/Performer,3/8/11,152.13
DOUBLETREE HOTEL,Guest Lecturer/Performer,4/21/11,127.33
DOUBLETREE HOTEL DALLAS,Clubs,4/21/11,3075
DOUBLETREE HOTEL DALLAS,Guest Lecturer/Performer,4/26/11,176.8
DOUBLETREE HOTEL DALLAS,Other Contracted Svces/Labor,4/28/11,3999.66
DOUBLETREE HOTEL DALLAS/RICHAR,Official Functions,9/2/10,931.96
DOUBLETREE HOTEL DALLAS/RICHAR,Staff Development,6/28/11,505.08
DOUBLETREE HOTEL DALLAS/RICHAR,Official Functions,8/5/11,3859.47
DOUG GEORGE,Athletic Officials,1/13/11,100
DOUG GEORGE,Athletic Officials,2/8/11,100
DOUG MORRIS,Guest Lecturer/Performer,9/14/10,125
DOUG STANLEY FORD,Vehicle Operating Expense,9/2/10,1546.48
DOUG STANLEY FORD,Vehicle Operating Expense,1/25/11,460.14
DOUGHERTY SPRAGUE ENTERPRISES,Repairs-Other,8/25/11,11254
DOW LOHNES PLLC,Legal Fees,10/19/10,2435
DOW LOHNES PLLC,Legal Fees,10/28/10,1102.5
DOW LOHNES PLLC,Legal Fees,1/19/11,607.9
DOW LOHNES PLLC,Legal Fees,2/8/11,1822.12
DOW LOHNES PLLC,Legal Fees,3/10/11,1049
DOW LOHNES PLLC,Legal Fees,4/5/11,226.87
DOW LOHNES PLLC,Legal Fees,4/28/11,262
DOW LOHNES PLLC,Legal Fees,8/5/11,76
DOWDEN ASSOCIATES INC,Other Contracted Svces/Labor,11/24/10,27900
DOWNTOWN BUSINESS NEWS,Advertising,10/19/10,325
DOWNTOWN BUSINESS NEWS,Advertising,10/28/10,325
DOWNTOWN BUSINESS NEWS,Advertising,11/2/10,325
DOWNTOWN BUSINESS NEWS,Advertising,11/18/10,325
DOWNTOWN BUSINESS NEWS,Advertising,12/7/10,325
DOWNTOWN BUSINESS NEWS,Advertising,12/14/10,325
DOWNTOWN BUSINESS NEWS,Advertising,2/8/11,650
DOWNTOWN BUSINESS NEWS,Advertising,4/26/11,425
DOWNTOWN BUSINESS NEWS,Advertising,5/5/11,425
DOWNTOWN BUSINESS NEWS,Advertising,5/19/11,425
DOWNTOWN BUSINESS NEWS,Advertising,6/9/11,425
DOWNTOWN BUSINESS NEWS,Advertising,6/21/11,325
DOWNTOWN BUSINESS NEWS,Advertising,7/21/11,325
DOWNTOWN BUSINESS NEWS,Advertising,8/30/11,975
DOWNTOWN SECURITY DIR ASSN,Memberships,2/17/11,25
DOYAL TREVOR DUPREE,Athletic Officials,2/24/11,225
DOYAL TREVOR DUPREE,Athletic Officials,3/15/11,125
DOYAL TREVOR DUPREE,Athletic Officials,3/17/11,225
DOYAL TREVOR DUPREE,Athletic Officials,3/29/11,210
DOYAL TREVOR DUPREE,Athletic Officials,3/29/11,125
DOYAL TREVOR DUPREE,Athletic Officials,3/29/11,225
DOYAL TREVOR DUPREE,Athletic Officials,4/5/11,210
DOYAL TREVOR DUPREE,Athletic Officials,4/12/11,210
DOYAL TREVOR DUPREE,Athletic Officials,4/28/11,225
DOYAL TREVOR DUPREE,Athletic Officials,5/10/11,350
DOYAL TREVOR DUPREE,Athletic Officials,5/24/11,125
DR EARL PAUL LLC,"Books, Booklets & Tapes",10/28/10,630
DR PEPPER BOTTLING CO,Refreshments,9/8/10,162.75
DR PEPPER BOTTLING CO,Refreshments,10/19/10,150.4
DR PEPPER BOTTLING CO,Refreshments,11/9/10,406.15
DR PEPPER BOTTLING CO,Refreshments,1/11/11,128
DR PEPPER BOTTLING CO,Refreshments,2/15/11,265.2
DR PEPPER BOTTLING CO,Refreshments,4/28/11,105.6
DR PEPPER BOTTLING CO,Refreshments,5/3/11,128
DR PEPPER BOTTLING CO,Clearing,5/5/11,128
DR PEPPER BOTTLING CO,Refreshments,8/9/11,320.4
DR PEPPER BOTTLING CO,Refreshments,8/25/11,165
DR. EDWARD F DUFFY,Other Contracted Svces/Labor,1/25/11,7422.25
DR. HAROLD HOUSLEY,Special Travel,10/7/10,65.71
DR. HAROLD HOUSLEY,Special Travel,12/16/10,65.71
DR. HAROLD HOUSLEY,Special Travel,3/31/11,67.02
DR. HAROLD HOUSLEY,Special Travel,5/12/11,67.02
DR. JOEL FREEMAN,Guest Lecturer/Performer,1/25/11,3500
DR. JOEL FREEMAN,Guest Lecturer/Performer,5/3/11,266.8
DRAMATIC PUBLISHING COMPANY,"Copyrights, Royalties & Licens",10/5/10,401.6
DRAMATISTS PLAY SERVICE INC,Classroom Supplies,10/19/10,25.25
DRAMATISTS PLAY SERVICE INC,"Copyrights, Royalties & Licens",11/16/10,300
DRAMATISTS PLAY SERVICE INC,"Books, Booklets & Tapes",6/2/11,128.34
DRAMATISTS PLAY SERVICE INC,"Books, Booklets & Tapes",6/2/11,450
DRAMATISTS PLAY SERVICE INC,Classroom Supplies,8/18/11,53.07
DREBELBIS ENGINEERING,Legal Fees,3/24/11,3945
DRINKS FANTASTIC,Rental/Lease-Other,2/24/11,159
DSC TRUCK SERVICES,Classroom Supplies,9/14/10,266.64
DSC TRUCK SERVICES,Repairs-Vehicles,8/11/11,244.35
DSS FIRE INC,Service Contracts,9/30/10,105
DSS FIRE INC,Service Contracts,10/21/10,210
DSS FIRE INC,Other Contracted Svces/Labor,1/13/11,420
DSS FIRE INC,Service Contracts,1/20/11,105
DSS FIRE INC,Service Contracts,2/8/11,210
DSS FIRE INC,Other Contracted Svces/Labor,2/24/11,105
DSS FIRE INC,Other Contracted Svces/Labor,2/24/11,105
DSS FIRE INC,Other Contracted Svces/Labor,2/24/11,105
DSS FIRE INC,Other Contracted Svces/Labor,3/15/11,105
DSS FIRE INC,Service Contracts,3/24/11,210
DSS FIRE INC,Other Contracted Svces/Labor,3/31/11,105
DSS FIRE INC,Other Contracted Svces/Labor,3/31/11,105
DSS FIRE INC,Service Contracts,4/5/11,105
DSS FIRE INC,Other Contracted Svces/Labor,6/7/11,285
DSS FIRE INC,Other Contracted Svces/Labor,6/16/11,285
DSS FIRE INC,Service Contracts,6/28/11,210
DSS FIRE INC,Other Contracted Svces/Labor,7/7/11,105
DSS FIRE INC,Other Contracted Svces/Labor,7/7/11,105
DUCKY BOB'S/CANNONBALL,Rental/Lease-Other,10/14/10,666
DUCKY BOB'S/CANNONBALL,Rental/Lease-Other,11/2/10,41.74
DUCKY BOB'S/CANNONBALL,Official Functions,11/2/10,207
DUCKY BOB'S/CANNONBALL,Rental/Lease-Furn. & Equip.,1/27/11,1865.55
DUCKY BOB'S/CANNONBALL,Rental/Lease-Furn. & Equip.,1/27/11,745
DUCKY BOB'S/CANNONBALL,Rental/Lease-Other,6/30/11,256
DUCKY BOB'S/CANNONBALL,Rental/Lease-Other,7/12/11,256
DUCKY BOB'S/CANNONBALL,Clubs,7/21/11,355
DUNAWAY ASSOCIATES LP,Consultant,10/12/10,59.41
DUNAWAY ASSOCIATES LP,Consultant,12/14/10,5625
DUNAWAY ASSOCIATES LP,Renov Architects & Engrs,2/22/11,2017.91
DUNAWAY ASSOCIATES LP,Renov Architects & Engrs,2/24/11,2070.68
DUNAWAY ASSOCIATES LP,Repairs-Buildings,3/3/11,5500
DUNAWAY ASSOCIATES LP,Renov Architects & Engrs,3/29/11,357.34
DUNAWAY ASSOCIATES LP,Renov Architects & Engrs,5/5/11,337.53
DUNAWAY ASSOCIATES LP,Renov Architects & Engrs,5/5/11,474.58
DUNAWAY ASSOCIATES LP,Renov Architects & Engrs,5/5/11,250
DUNAWAY ASSOCIATES LP,Consultant,5/19/11,6250
DUNAWAY ASSOCIATES LP,Consultant,8/30/11,1500.27
DUNCANVILLE CHAMBER COMMERCE,Promotional Activities,10/12/10,850
DUNCANVILLE CHAMBER COMMERCE,Miscellaneous,11/9/10,550
DUNCANVILLE CHAMBER COMMERCE,Memberships,12/21/10,220
DUNCANVILLE CHAMBER COMMERCE,Memberships,1/19/11,550
DUNCANVILLE HIGH SCHOOL,Instructional Service Contracts,8/2/11,6400.65
DUNCANVILLE HIGH SCHOOL,Instructional Service Contracts,8/2/11,15919.5
DUNCANVILLE HIGH SCHOOL,Instructional Service Contracts,8/2/11,33381.94
DUNCANVILLE HIGH SCHOOL,Instructional Service Contracts,8/2/11,21532.51
DUNCANVILLE ISD,Instructional Service Contracts,6/23/11,787.76
DUSTIN COHEN,Athletic Officials,9/14/10,85
DUSTIN COHEN,Athletic Officials,9/21/10,80
DUSTIN COHEN,Athletic Officials,9/30/10,120
DUSTIN COHEN,Athletic Officials,9/30/10,85
DUSTIN COHEN,Athletic Officials,10/21/10,85
DUSTIN COHEN,Athletic Officials,11/2/10,85
DUSTIN COHEN,Athletic Officials,11/4/10,120
DUSTIN COHEN,Athletic Officials,4/14/11,40
DUSTIN COHEN,Athletic Officials,5/10/11,50
DUSTIN COHEN,Athletic Officials,8/30/11,205
DVM RESOURCES,Minor Equipment,3/29/11,3320
DW DISTRIBUTION INC,"Books, Booklets & Tapes",2/17/11,1953
DWAYNE A. LEINARD,Guest Lecturer/Performer,4/19/11,550
DWAYNE PHILLIPS,Athletic Officials,2/24/11,210
DWAYNE PHILLIPS,Athletic Officials,3/1/11,125
DWAYNE PHILLIPS,Athletic Officials,3/29/11,225
DWAYNE PHILLIPS,Athletic Officials,3/29/11,125
DWAYNE PHILLIPS,Athletic Officials,3/29/11,225
DWAYNE PHILLIPS,Athletic Officials,3/31/11,125
DWAYNE PHILLIPS,Athletic Officials,5/17/11,125
DWAYNE PHILLIPS,Athletic Officials,5/19/11,225
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/9/10,189.03
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/9/10,-39.75
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/14/10,39.75
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/14/10,137
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/16/10,69.89
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/21/10,180
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/30/10,39.75
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,9/30/10,236.84
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,10/14/10,43.53
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,10/14/10,43.53
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,10/14/10,43.53
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,10/14/10,43.53
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,10/26/10,70.53
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,12/14/10,137.53
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,1/6/11,304.95
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,1/19/11,39.75
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,1/25/11,376.95
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,1/25/11,39.75
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,1/25/11,932.2
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,3/8/11,39.75
DWIGHT & DON'S AUTOCARE,Vehicle Operating Expense,3/10/11,194.22
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,3/15/11,110.28
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,3/15/11,110.28
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,3/22/11,756.53
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,3/22/11,14.23
DWIGHT & DON'S AUTOCARE,Vehicle Operating Expense,3/29/11,9
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,4/5/11,111.43
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,4/7/11,980.26
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,4/19/11,156.05
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,4/19/11,124.64
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,4/21/11,41.96
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,5/17/11,151.98
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,5/19/11,174.79
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,5/19/11,268.5
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,6/7/11,135.08
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,6/7/11,72
DWIGHT & DON'S AUTOCARE,Vehicle Operating Expense,6/16/11,99.76
DWIGHT & DON'S AUTOCARE,Vehicle Operating Expense,6/16/11,301.6
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,7/7/11,178.47
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,7/7/11,88.87
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,7/14/11,207
DWIGHT & DON'S AUTOCARE,Vehicle Operating Expense,7/19/11,658.89
DWIGHT & DON'S AUTOCARE,Vehicle Operating Expense,7/19/11,371.43
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,8/11/11,273
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,8/11/11,39.75
DWIGHT & DON'S AUTOCARE,Vehicle Operating Expense,8/16/11,1057.91
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,8/18/11,294.49
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,8/23/11,94.78
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,8/23/11,429.96
DWIGHT & DON'S AUTOCARE,Repairs-Vehicles,8/23/11,457.46
DYKEMA GOSSETT PLLC,Legal Fees,3/1/11,1485
DYKEMA GOSSETT PLLC,Legal Fees,3/17/11,1980
